Experiment,Particle,E1,pt1,eta1,phi1
1,j,1.06946e+06,751597,0.858186,-1.84217
2,j,676000,640429,0.33045,0.704554
3,j,936707,616229,0.973383,-1.56592
4,j,640313,589524,0.390749,1.23734
5,j,583373,545730,0.364057,-1.60732
7,j,725985,520934,0.84413,0.958992
8,j,537343,529153,0.137884,-2.33127
9,j,396737,309154,0.726839,1.14318
10,j,1.05556e+06,1.05246e+06,-0.0320456,-2.67977
11,j,625006,587880,0.22586,2.25768
12,j,464379,365191,-0.692061,-1.26353
13,j,522824,411351,-0.716307,0.954073
14,j,483221,371787,-0.754554,2.58584
15,j,722624,704199,-0.219317,-1.96891
16,j,534575,529280,-0.111663,-1.16549
17,j,498926,496904,0.0577043,-0.208137
18,j,1.31123e+06,384930,1.89568,1.61223
19,j,2.01959e+06,990555,1.33227,-2.5772
20,j,676587,565498,-0.611223,0.91399
21,j,1.40349e+06,655310,-1.3919,-1.2087
22,j,397771,391036,-0.0431479,-2.67217
23,j,815050,678926,-0.612176,-0.340187
24,j,563461,518250,-0.373418,-2.40458
25,j,566770,529363,-0.368119,-1.09293
26,j,802978,606971,-0.779902,0.200783
27,j,1.00737e+06,563718,-1.18241,-2.90471
28,j,437053,316767,-0.839672,-1.64205
30,j,856115,401965,-1.38752,1.17301
31,j,491042,364491,0.793556,0.636385
32,j,659741,604499,-0.423699,2.14238
33,j,637118,621127,-0.216395,-0.0511092
34,j,439276,360418,-0.637179,0.264442
35,j,340164,338264,0.0578668,-0.0567574
36,j,951676,741913,0.732335,1.4638
37,j,289428,282424,0.135253,-1.651
38,j,2.04296e+06,1.18831e+06,-1.13654,-0.774387
39,j,1.70178e+06,1.61521e+06,0.262554,2.10032
40,j,689441,688605,0.0235685,-1.48679
41,j,3.07998e+06,750024,-2.09049,-0.791117
42,j,494441,492881,0.0151027,-2.86642
43,j,443131,357918,0.669134,3.10935
44,j,670315,411060,1.06781,-1.27129
45,j,701674,628836,-0.470639,0.101822
46,j,715858,653962,0.412217,-2.40638
47,j,1.47058e+06,290708,-2.30352,1.8812
48,j,597882,576233,0.255735,0.700331
49,j,707303,435748,1.06185,-2.82993
50,j,542146,415940,0.753175,-1.31956
51,j,313887,233644,0.793024,2.87453
52,j,669707,621698,0.353747,-2.06787
53,j,715627,708162,0.0237875,2.56035
54,j,2.17669e+06,1.01388e+06,-1.39398,2.87488
55,j,592077,422969,0.862721,1.26872
56,j,956368,463174,-1.34372,-1.29695
57,j,685419,581798,0.571973,-1.16589
58,j,968432,832542,-0.537516,2.79167
59,j,475757,472332,-0.111839,2.95567
60,j,712626,584874,-0.648516,-1.47046
61,j,582504,424756,0.83285,3.08652
62,j,717998,592175,0.637129,2.53084
63,j,498326,491274,0.144753,-0.270643
64,j,447671,438160,0.192887,2.09888
65,j,1.10498e+06,932732,0.590704,-2.02743
66,j,934614,885620,0.329407,-2.72764
67,j,511716,484055,0.329204,-0.258296
68,j,1.19072e+06,919927,0.748969,0.598941
69,j,857833,633814,-0.812518,-1.73981
70,j,710981,531803,-0.793912,-1.29823
71,j,377083,322771,-0.56969,0.470605
72,j,657352,622767,0.321188,2.72621
73,j,1.45558e+06,338397,2.13788,0.881201
74,j,405299,308903,0.756781,-0.854935
75,j,709783,615901,-0.536118,2.05236
76,j,689355,312214,1.42883,-0.714373
77,j,1.06411e+06,453912,1.49543,-0.940136
78,j,645243,563205,-0.5271,-1.48011
79,j,872994,562642,1.00524,-1.47871
80,j,467471,452161,0.25349,-0.530416
81,j,700033,683158,-0.132609,-2.28841
82,j,464758,455423,0.185026,-0.896743
83,j,502929,393302,0.722995,-2.15475
84,j,1.34124e+06,425695,-1.81394,2.98586
85,j,1.3775e+06,779472,1.1684,2.17104
86,j,805141,802342,-0.0535974,1.46259
87,j,713699,460294,0.999894,1.77415
88,j,781506,641401,0.64319,-2.57061
89,j,618024,193748,1.82503,-1.72218
90,j,810753,664404,0.643486,2.85741
91,j,620284,528558,0.578717,2.54102
92,j,790161,241393,-1.85367,3.02926
93,j,617104,568600,0.396773,1.64634
94,j,1.21066e+06,830392,0.922857,0.527455
95,j,881277,759154,-0.554105,-2.74817
96,j,1.18867e+06,1.11923e+06,0.34211,2.71465
97,j,1.54378e+06,496281,1.79675,1.1437
98,j,763745,749576,0.125134,-2.04176
99,j,1.89914e+06,358952,-2.34957,1.78423
100,j,562306,546790,0.17393,-0.948139
101,j,644315,439709,0.924161,-1.6033
102,j,1.45239e+06,1.43078e+06,0.164157,1.4752
103,j,699328,672229,-0.253409,1.92016
104,j,871071,783879,-0.465998,-2.20685
105,j,1.08126e+06,557746,1.27636,2.56702
106,j,742078,620259,-0.607064,-2.75416
107,j,312273,200519,1.00571,3.10977
108,j,829555,566996,0.928551,-1.70007
109,j,700954,624304,0.476003,0.669219
110,j,763818,674948,-0.485288,1.65885
111,j,1.27217e+06,529390,-1.52221,-1.75767
112,j,1.53469e+06,867143,-1.16798,2.07868
113,j,847531,763560,0.395625,-0.963893
114,j,583659,437421,0.791548,-2.90578
115,j,912758,758359,0.616824,-2.1805
116,j,530492,511012,-0.253154,-1.0258
117,j,718627,689282,0.248737,-1.27932
118,j,1.09625e+06,869402,-0.656956,1.35613
119,j,958586,774492,0.661204,-0.391387
120,j,719076,398330,1.19557,2.24129
121,j,514992,426484,0.625103,-3.03773
122,j,720644,441416,-1.0703,0.78963
123,j,1.50155e+06,576917,1.6096,0.0304621
124,j,1.2589e+06,576987,1.414,1.82891
125,j,663511,481686,-0.836247,1.68828
126,j,743236,720473,-0.221758,0.0412553
127,j,400002,394916,0.140905,2.83308
128,j,1.42579e+06,946041,-0.936248,-1.50131
129,j,1.04578e+06,1.00136e+06,0.113526,2.31388
130,j,393157,355025,-0.442513,1.42853
131,j,860474,396347,-1.40878,0.939289
132,j,804235,590662,0.821727,1.54488
133,j,350410,328441,-0.358206,2.85299
134,j,1.13926e+06,464199,-1.54592,-0.452485
135,j,927659,857580,0.376618,-3.12277
136,j,496976,466962,-0.348429,0.487158
137,j,480251,269206,-1.17402,-2.89632
138,j,960403,944340,0.138736,0.132425
139,j,1.10865e+06,915539,-0.619885,1.9337
140,j,588459,446442,-0.771195,0.97843
141,j,695542,677966,0.0208605,0.420564
142,j,786439,442712,-1.16764,-2.4549
143,j,762664,734099,0.274915,-1.46624
144,j,1.97325e+06,625706,-1.81533,1.81685
145,j,638536,349710,-1.20824,-2.49693
146,j,755971,412904,-1.20855,-2.94375
147,j,723907,648721,-0.45963,-0.959417
148,j,1.585e+06,628342,1.57569,3.06416
149,j,2.18571e+06,526905,-2.10072,0.122373
150,j,698653,521078,-0.800429,2.32881
151,j,996440,951499,0.222663,0.0144178
152,j,470240,189977,-1.55183,2.60041
153,j,2.5788e+06,501449,-2.32108,-0.222398
154,j,285006,272768,0.213825,0.547885
155,j,911970,893280,0.108591,1.89771
156,j,1.32628e+06,938813,-0.873928,1.52195
157,j,987647,626973,-1.01642,0.511359
158,j,1.1362e+06,984077,-0.512452,2.40617
159,j,494536,303483,1.06237,2.71406
160,j,641243,633080,0.148253,1.64738
161,j,327099,312658,-0.273002,0.268715
162,j,506369,290614,-1.14599,-2.52241
163,j,630689,626809,0.0265197,-2.89573
164,j,524272,425909,0.616189,0.693247
165,j,484537,421686,-0.536874,1.09097
166,j,2.34346e+06,870041,-1.64747,0.672419
167,j,1.85455e+06,561047,1.86395,2.24851
168,j,927724,719316,0.742997,0.313524
169,j,313130,283111,-0.349263,1.96168
170,j,371490,356243,0.238813,-0.0732619
171,j,1.9372e+06,827320,-1.49416,0.259462
172,j,549385,519153,0.287343,2.86197
174,j,541763,537323,-0.0679013,1.51254
175,j,1.41771e+06,477928,1.75036,-2.90661
176,j,860135,836425,-0.175156,2.73393
177,j,389557,329478,0.571468,-2.38258
178,j,468513,328591,-0.884254,2.85134
179,j,817855,746914,-0.402306,0.930303
180,j,958447,603416,1.03686,0.763274
181,j,530990,342479,0.977437,-0.431241
182,j,924594,433305,1.38593,-0.507909
183,j,549725,543823,-0.051139,-0.982833
184,j,474088,311471,0.97678,-0.153978
185,j,761640,693037,-0.439621,0.0890908
186,j,1.06832e+06,415841,-1.59471,2.03489
187,j,1.01557e+06,829056,0.658628,2.1919
188,j,1.11549e+06,1.08279e+06,-0.241838,-2.45583
189,j,2.10647e+06,1.63854e+06,0.737752,-0.708618
190,j,648431,569074,0.518549,2.85538
191,j,706624,410994,1.13206,2.13971
192,j,456271,395814,-0.53947,2.62676
193,j,813145,804689,0.0756072,2.68687
194,j,826529,359186,1.47448,-2.6867
195,j,558363,546790,0.044562,-1.58187
196,j,1.3575e+06,967043,0.86909,0.646068
197,j,1.34411e+06,1.23194e+06,0.419205,-0.954628
198,j,516889,280336,1.21901,-1.9875
199,j,1.062e+06,774362,0.836234,-1.85026
200,j,289913,282072,0.0899163,-0.00223548
201,j,1.14929e+06,1.04941e+06,0.429226,-2.42495
202,j,466514,327947,0.883177,-1.4208
203,j,668179,555417,0.624794,-0.243675
204,j,743118,677603,-0.28857,-1.44278
205,j,831410,720730,0.543497,0.249507
206,j,1.04267e+06,1.01309e+06,0.14056,-0.910967
207,j,987942,662497,-0.954239,-0.0732066
208,j,458681,443721,0.115391,2.61967
209,j,1.0551e+06,680394,-1.00277,1.52097
210,j,844978,726012,-0.560918,-0.906429
211,j,527045,425418,-0.673841,0.2846
212,j,555438,489624,-0.435591,0.138328
213,j,534933,516194,-0.208439,0.903941
214,j,732063,552734,-0.753523,2.74436
215,j,291870,254985,0.515322,-1.08918
216,j,480688,422972,0.486014,-1.34828
217,j,1.79028e+06,724837,1.55332,-1.62868
218,j,1.26297e+06,1.21024e+06,0.283504,1.78765
219,j,343580,329476,-0.250707,0.101772
220,j,848777,833779,0.174323,1.90707
221,j,683404,547630,0.655547,2.62479
222,j,916745,582166,1.0236,0.59375
223,j,418887,355806,0.571834,3.0339
224,j,847450,828258,-0.164716,-2.90035
225,j,606879,351292,1.1416,1.14027
226,j,1.52706e+06,902997,-1.11426,-0.127246
227,j,841564,797703,-0.201643,3.02601
228,j,735985,714395,0.23048,-2.88067
229,j,682898,556421,-0.65396,0.143618
230,j,1.00313e+06,910073,0.444877,2.87603
231,j,539008,512691,-0.308378,-0.0615504
232,j,713368,373398,-1.26218,1.69647
234,j,716186,646538,0.450618,-0.139937
235,j,808603,500172,-1.05842,2.00324
236,j,666892,661301,0.0373756,-2.69734
237,j,1.32763e+06,411292,1.83714,2.18618
238,j,870961,730252,-0.59559,1.55213
239,j,837433,538475,1.00325,-0.653138
240,j,644834,576788,0.464399,-0.414489
241,j,721708,657284,-0.424637,-1.22908
242,j,274207,247802,-0.444967,-1.56536
243,j,518015,453658,0.474419,-1.27756
244,j,536579,528730,0.163662,-2.76714
245,j,735871,724985,-0.0741954,-0.0537228
246,j,545978,533080,0.119437,-1.60229
247,j,1.09313e+06,656144,-1.09605,0.255568
248,j,616966,605641,-0.187642,-1.15957
249,j,964729,864367,-0.474157,1.50842
250,j,574865,471248,-0.643881,-0.395005
251,j,981886,956330,0.0923959,0.464094
252,j,991038,579067,1.10942,-2.13931
253,j,934066,700379,-0.785353,2.8486
254,j,1.12896e+06,702830,1.05073,-2.18475
255,j,618596,537663,-0.53988,1.29027
256,j,765600,581341,-0.773713,-2.50858
257,j,1.02923e+06,940567,-0.425524,-0.298194
258,j,1.32642e+06,1.30331e+06,0.17082,2.83716
259,j,1.87723e+06,687846,1.66117,0.407712
260,j,784367,673904,0.556478,0.616655
261,j,1.47382e+06,1.34435e+06,-0.434966,-2.01145
262,j,519138,499972,0.271927,-3.05608
263,j,284320,280215,0.0707551,-0.593875
264,j,1.00129e+06,827139,-0.629996,-2.82004
265,j,1.14074e+06,931257,-0.639659,0.463097
266,j,480239,416250,0.528429,-2.49607
267,j,322408,265901,-0.634857,-0.364733
268,j,659178,624676,0.311966,0.589697
269,j,1.42049e+06,678491,1.36727,-2.81125
270,j,774893,428752,-1.18971,-2.52399
271,j,960010,492245,1.28629,-1.48937
272,j,584215,532702,0.428171,2.73649
273,j,1.08735e+06,1.08081e+06,-0.0931028,1.973
274,j,565035,563710,0.0169263,-3.0425
275,j,297333,292225,0.110396,-0.253669
276,j,483371,444240,0.351171,0.670384
277,j,648074,635801,-0.136184,3.09062
278,j,630978,629206,-0.0227206,0.680732
279,j,985561,599123,1.08108,-1.51461
280,j,1.04933e+06,894276,0.578755,2.57507
281,j,684935,678444,0.13258,-1.37033
282,j,509127,375397,-0.816068,-2.79935
283,j,1.61098e+06,1.12908e+06,0.892473,-2.66768
284,j,1.18537e+06,358834,1.86044,2.12427
285,j,577500,557280,0.254488,2.00777
286,j,557437,543536,0.221335,-1.97169
287,j,883872,849454,0.236155,0.892572
288,j,491842,384782,0.726682,2.29246
289,j,818057,810897,0.0661192,0.941271
290,j,519490,481912,-0.305553,-2.74677
291,j,808233,657134,0.632335,-2.2565
292,j,471901,464962,-0.148728,-0.391214
293,j,837074,660947,-0.708686,2.30134
294,j,366462,352799,-0.234221,-2.99691
295,j,1.37254e+06,1.22133e+06,-0.440712,-1.2122
296,j,304284,278855,-0.417333,0.991155
297,j,1.73555e+06,929156,-1.23635,-0.943437
298,j,547745,533632,0.211187,2.35037
299,j,722073,338553,-1.38943,-0.124645
300,j,1.1704e+06,713284,1.07819,1.31357
301,j,1.17651e+06,480907,1.54243,0.47748
302,j,1.5789e+06,1.07152e+06,-0.937896,-1.99121
303,j,700602,695565,-0.0321091,0.474881
304,j,423817,400216,-0.297225,-0.257551
305,j,591270,442639,-0.794923,2.36981
306,j,749358,557337,-0.78339,-0.85675
307,j,864755,565856,-0.981027,0.769179
308,j,784339,779321,0.0883934,-0.952082
310,j,1.113e+06,824328,-0.808415,1.48126
311,j,999765,660167,0.972421,-2.07145
312,j,374643,354319,0.267806,-2.74994
313,j,1.35714e+06,406522,1.87493,-0.0840237
314,j,810605,711891,-0.491949,-1.94989
315,j,511898,383355,0.790471,-2.96511
316,j,622991,419250,0.943907,-2.03445
318,j,1.68246e+06,1.0366e+06,1.06361,1.40137
319,j,416246,410315,0.0107431,-1.67093
320,j,245895,207288,0.596156,-0.422806
321,j,397737,387278,-0.0968928,1.2931
322,j,983226,975030,0.123175,-1.44332
323,j,670273,449880,0.950893,1.86518
324,j,1.01068e+06,577431,1.14836,0.246518
325,j,694422,479770,-0.897337,-0.669095
326,j,928742,822141,-0.496364,0.802061
327,j,772891,660764,0.568271,2.36393
328,j,545115,286203,1.25782,0.267746
329,j,625043,431013,0.908376,2.06212
330,j,2.06611e+06,305254,2.59986,-2.91798
331,j,901974,803039,0.477608,-2.59082
332,j,1.43695e+06,826247,-1.14975,-1.61913
333,j,1.3248e+06,946465,0.858391,-1.70252
334,j,1.21724e+06,634010,-1.26779,-0.165967
335,j,780362,612032,-0.723784,2.33342
337,j,492018,269779,-1.20124,2.30792
338,j,847969,811958,0.276566,-0.243739
339,j,410105,352009,0.442982,0.0758115
340,j,534297,496588,-0.20687,2.11345
341,j,792741,772208,-0.0998576,1.19115
342,j,345286,337570,0.181615,-1.27287
343,j,1.08066e+06,856201,0.697307,2.55285
344,j,1.01871e+06,689093,0.931056,-1.88995
345,j,776003,734713,-0.331719,-0.936799
346,j,1.0649e+06,624380,1.12613,-1.04099
347,j,987632,856385,-0.544054,2.80343
348,j,1.98438e+06,547996,-1.96009,1.59163
349,j,1.12257e+06,649879,-1.14265,-0.480828
350,j,405020,333200,-0.639342,-1.99094
351,j,873929,817693,-0.326524,-1.29715
352,j,768090,758774,0.0907571,-0.0104898
353,j,909711,429684,1.38076,2.01802
355,j,897760,582642,0.990908,1.37132
356,j,612468,603060,-0.1475,1.55431
357,j,339747,323428,0.29993,0.0636164
358,j,957821,943083,-0.0553958,-1.36381
359,j,404636,389538,-0.244409,1.0582
360,j,323739,320985,0.0220644,-1.28793
361,j,511870,466367,-0.403383,-0.26617
362,j,486285,483686,-0.0491981,2.87528
363,j,351278,338391,0.138105,0.58629
364,j,269192,267450,0.0205183,0.105717
365,j,771106,687676,0.466833,-2.52172
366,j,708643,577503,-0.652265,-1.87091
367,j,731258,673224,-0.35216,3.12273
368,j,567606,343857,1.08484,2.0379
370,j,446229,280404,-1.03797,0.833427
371,j,654471,620637,0.322208,-1.0749
372,j,1.00467e+06,998953,-0.0774755,-1.87836
373,j,461733,329403,-0.863138,-1.85007
374,j,800838,797680,0.0463991,-0.865566
375,j,870942,710699,-0.647264,-3.09552
376,j,595454,578693,-0.231304,-0.294587
377,j,807309,791649,0.155881,-0.12416
378,j,456030,452931,0.0583148,-0.42568
379,j,1.12158e+06,609774,1.21831,-0.973823
380,j,1.01421e+06,876134,-0.543592,1.00187
381,j,494849,475974,0.177816,-1.17173
382,j,626563,345984,1.1915,2.77709
383,j,1.15916e+06,696549,1.07795,-1.62338
384,j,2.07321e+06,503271,2.09154,0.911268
385,j,648507,524364,-0.668701,1.30967
386,j,1.18478e+06,778389,-0.97983,-2.21933
388,j,427768,409603,-0.240681,2.25817
389,j,655783,528698,-0.630492,-0.84655
390,j,1.37426e+06,1.1963e+06,0.537191,2.36735
391,j,1.16612e+06,359323,1.84517,-1.10764
392,j,641712,517353,-0.663193,-0.600865
393,j,857123,517382,1.08677,-1.20795
394,j,899228,522176,-1.13638,0.635495
395,j,582253,542500,0.370036,-1.99002
396,j,448229,426357,-0.17956,-0.610696
397,j,345664,298774,0.545602,1.64317
398,j,455913,447689,-0.186482,3.06866
399,j,505030,352221,0.88967,2.49129
400,j,1.32419e+06,977284,0.803572,-0.165476
401,j,670648,668777,0.0416408,-0.523273
402,j,646462,609640,0.138147,2.33686
403,j,920869,346466,1.63231,0.800605
405,j,836475,529997,1.02181,-2.86637
406,j,655931,595914,-0.406429,-2.06476
407,j,421091,404073,0.268501,-0.76322
408,j,756107,692990,-0.388736,0.889921
409,j,1.04884e+06,1.04202e+06,0.0874887,2.53471
410,j,314062,278880,-0.482838,1.26318
411,j,606041,581499,0.26881,-0.566508
412,j,535805,508561,-0.320346,0.378695
413,j,321871,314134,-0.157715,1.49064
414,j,770087,647161,0.602051,1.17157
415,j,596125,309602,1.27089,1.68321
416,j,1.20194e+06,632142,1.25514,0.166843
417,j,917745,606230,0.971291,-0.911441
418,j,1.38773e+06,791267,1.15831,-3.03696
419,j,347513,297232,0.54276,-1.64089
420,j,3.09204e+06,617615,2.29303,2.25151
421,j,389299,388344,-0.0373969,0.250977
423,j,1.14309e+06,697735,-1.07383,0.188914
424,j,862251,466441,-1.22071,3.0047
425,j,681644,458984,0.944877,1.35775
426,j,958138,929417,-0.0343957,-1.47545
427,j,382116,298539,0.715421,-2.81704
428,j,925736,839437,0.448644,-0.658889
429,j,617807,508799,0.637267,-1.21515
430,j,513441,381145,-0.808549,2.02592
431,j,1.13101e+06,853648,0.784498,2.71769
432,j,873725,364381,-1.51885,-1.148
433,j,826814,779059,0.265478,0.533608
434,j,619900,543309,0.51949,2.00815
435,j,684297,478413,0.895193,2.12236
436,j,918655,915439,0.0763257,2.00865
437,j,726500,458880,1.0199,0.113687
438,j,1.2096e+06,345636,-1.9236,-1.23396
439,j,501841,363640,-0.843338,1.28871
440,j,971279,853783,-0.49761,2.80966
441,j,828914,304269,-1.6591,-0.35323
442,j,476652,337300,-0.866848,-0.0492932
443,j,435409,431708,-0.0289049,0.830272
444,j,3.24928e+06,533327,-2.49324,-0.837215
445,j,1.11478e+06,1.02793e+06,0.354556,1.0729
446,j,396230,393654,-0.0502896,-2.94083
447,j,1.38832e+06,762407,-1.20087,-0.199049
448,j,624903,542404,0.540683,1.1995
449,j,862619,344919,-1.56186,2.62316
450,j,2.33459e+06,933367,1.56683,-2.20837
451,j,637733,580583,-0.434979,2.52562
452,j,2.21451e+06,875875,1.57864,-0.649968
453,j,907230,858836,-0.311824,-1.13746
454,j,693289,420615,-1.08036,-1.28865
455,j,382537,240796,-1.03377,-0.00121389
456,j,467326,458910,0.0826705,2.1236
457,j,681879,576610,0.586242,-2.16963
458,j,629857,536711,0.561301,2.81608
459,j,1.39127e+06,503059,-1.67575,2.65939
460,j,1.2951e+06,522675,1.55431,0.575825
462,j,1.02439e+06,456357,-1.4469,2.3805
463,j,378999,369595,0.125953,2.99061
464,j,549381,374468,0.924565,-3.08968
465,j,633069,623039,0.12583,-0.831394
466,j,422495,413722,0.201585,-1.12542
467,j,954022,625081,-0.972229,2.41504
468,j,1.11359e+06,978103,-0.507042,0.334775
469,j,1.41226e+06,1.36669e+06,-0.251417,-0.756465
470,j,360822,348899,-0.251756,-2.90873
471,j,1.48863e+06,1.46362e+06,0.0828542,2.50138
472,j,645252,581887,0.454006,-2.6823
473,j,1.05129e+06,848911,0.677196,0.951223
474,j,662150,503801,-0.766897,-1.70647
475,j,1.38182e+06,428101,1.83961,-0.214242
476,j,431970,409953,-0.294469,-0.592163
477,j,686343,613087,-0.460603,1.3696
478,j,1.36176e+06,1.10596e+06,-0.617137,-0.0593473
479,j,2.49098e+06,787417,-1.81787,-2.57121
480,j,371144,351650,-0.26165,3.08916
481,j,925268,855011,-0.400544,-2.06594
482,j,536594,528143,0.121171,-2.09525
483,j,1.47408e+06,1.05847e+06,0.858208,-1.37291
484,j,955422,727657,0.76605,-1.49256
485,j,313101,301193,-0.228801,1.66921
486,j,392576,388926,-0.117916,1.51971
487,j,458025,374908,0.647334,-0.74175
488,j,634702,628351,-0.120193,-0.0743887
489,j,575068,370664,0.992727,1.48938
490,j,1.00455e+06,781556,-0.730892,2.05313
491,j,327457,254617,0.733617,-1.34241
492,j,501358,414060,-0.609744,1.3132
493,j,500649,390091,-0.731066,-0.324005
494,j,624749,533851,0.570099,-2.33818
495,j,675856,609787,0.457124,-2.14055
496,j,1.25133e+06,413945,1.76983,-1.56558
497,j,1.12337e+06,1.12107e+06,-0.0396889,1.4606
498,j,652705,626551,0.26876,2.14574
499,j,572644,563195,-0.146803,2.75482
500,j,464186,419753,-0.434811,0.138396
501,j,404367,261758,0.978884,-1.49057
502,j,976317,518130,-1.23769,-0.135074
503,j,741748,738193,0.0127132,-1.30645
504,j,556702,236495,-1.49865,-2.82528
505,j,503751,385680,0.758493,0.986094
506,j,608387,557265,-0.412604,-2.04888
507,j,785554,427314,-1.20841,-1.08147
508,j,504558,470073,-0.37781,-0.730805
509,j,520571,389061,0.790028,0.902741
510,j,1.18964e+06,555301,-1.38705,-0.43256
511,j,533920,496509,0.27741,1.77667
512,j,1.28901e+06,1.21694e+06,0.239658,-1.4056
513,j,970350,737696,-0.771664,1.68391
514,j,940222,391767,-1.51929,-2.29786
515,j,821757,625966,0.762356,1.34361
516,j,1.17325e+06,581377,-1.32696,2.91588
517,j,570639,568729,0.0771478,2.20608
518,j,364780,331496,-0.396996,-1.13452
519,j,913403,392175,-1.48539,1.49811
520,j,2.4166e+06,553160,-2.15411,-0.465228
521,j,604405,573298,0.272964,2.22506
522,j,897892,504250,1.17432,-1.68894
523,j,752676,395310,-1.25832,-2.46999
524,j,382660,354295,-0.376224,-1.53834
525,j,350310,314549,-0.424099,1.63407
526,j,1.03232e+06,936621,0.436685,-1.43713
527,j,1.04081e+06,935034,0.448011,-1.57406
528,j,1.61831e+06,407590,2.05539,0.280336
529,j,717677,657802,-0.341096,2.15029
530,j,540788,528438,-0.184123,-0.10604
531,j,994080,620829,-1.04624,-1.46806
532,j,774994,306524,-1.57774,1.67053
533,j,529913,408734,0.747044,-1.78786
534,j,901571,504113,-1.18398,0.0261591
535,j,1.65899e+06,871720,-1.24381,1.56716
536,j,1.90078e+06,589178,-1.83513,-1.48211
537,j,861403,795144,0.390004,-1.82133
538,j,292704,284204,-0.229273,-1.36166
539,j,524468,442033,-0.588961,-0.536425
540,j,764040,699624,0.423247,1.87369
541,j,948064,927485,0.179083,1.31206
542,j,362609,326672,-0.460934,2.25338
543,j,541019,524964,-0.088077,-0.474279
544,j,852286,810413,0.317133,3.04179
545,j,367708,259359,0.867473,0.944309
546,j,990000,892362,-0.460051,-2.46992
547,j,522235,449482,-0.55473,0.252926
548,j,284392,280179,0.157049,-0.217896
549,j,2.07809e+06,598945,1.91203,-0.839758
550,j,373518,279424,0.775584,1.45692
551,j,584205,345090,-1.11153,-2.96874
552,j,467641,465075,-0.0285478,2.18554
553,j,1.32261e+06,762092,1.14601,2.53325
554,j,773315,772671,-0.0133193,-0.93721
555,j,1.11232e+06,753844,0.939018,-2.16415
556,j,702791,369369,-1.25272,0.52739
557,j,1.03599e+06,633730,-1.06646,-0.503215
558,j,632578,607553,0.240533,2.64087
559,j,652549,634136,0.188913,-0.0988224
560,j,878194,649957,-0.810591,1.31029
561,j,468457,380948,-0.657304,1.51222
562,j,2.16872e+06,753123,1.71833,0.0147383
563,j,694620,599453,-0.552097,-1.71162
564,j,892378,730111,0.652865,-2.01728
565,j,1.01963e+06,587490,-1.1472,1.33076
566,j,1.31866e+06,566631,1.47802,2.39372
567,j,963068,658377,0.926474,-1.06579
568,j,559513,411615,-0.799711,1.66488
569,j,1.29868e+06,1.24439e+06,0.282456,-1.46774
570,j,719974,588071,-0.657311,2.527
571,j,801390,754454,-0.345877,-3.05525
572,j,1.29589e+06,531096,-1.538,-0.635603
573,j,1.27721e+06,916517,-0.857683,-1.7513
574,j,677300,444408,0.97406,0.635265
575,j,1.30547e+06,1.01184e+06,0.742402,-2.11552
576,j,690542,684312,-0.0451635,-3.09136
577,j,2.20058e+06,683540,1.83677,2.56079
578,j,869646,545028,-1.0341,-2.73278
579,j,633997,628499,-0.023841,1.40863
580,j,456741,435363,0.238156,-3.11977
581,j,717393,445380,1.04456,-2.70198
582,j,504822,396472,0.68749,1.03022
583,j,2.6575e+06,1.04228e+06,-1.58793,2.77248
584,j,931475,399654,-1.48857,1.78247
585,j,1.96296e+06,819574,-1.5196,1.97621
586,j,1.27849e+06,297259,-2.13784,-2.29113
587,j,542861,376753,0.894921,-1.94185
588,j,578396,499895,-0.541288,1.93572
589,j,458518,443371,-0.232807,-2.27942
590,j,1.00647e+06,1.00392e+06,-0.0638267,2.84563
591,j,627846,482124,0.755718,1.13444
592,j,1.43199e+06,901457,-1.03612,-1.86796
593,j,890299,392659,-1.45885,-1.10138
594,j,1.58619e+06,690957,1.47284,0.28081
595,j,1.31108e+06,637552,-1.34828,-3.0109
596,j,1.40365e+06,473155,1.74887,0.415807
597,j,320664,268517,-0.60479,1.95258
598,j,1.38828e+06,945290,0.933151,2.63649
599,j,1.17179e+06,1.12871e+06,0.268459,-2.18002
600,j,685237,625971,-0.398585,-1.42978
601,j,1.69636e+06,663365,-1.59018,-1.13684
